	train_epoch_loss	dev_epoch_loss	dev_precision	dev_recall	dev_f1
0	0.013480580738832145	0.003312527978171905	0.8300492508614624	0.8300492508614624	0.8300442508915808
1	0.007978683845216378	0.003403164451897499	0.8546797924300519	0.8546797924300519	0.8546747924593023
2	0.006746541559848873	0.002935267203221364	0.8596059007437697	0.8596059007437697	0.8596009007728527
3	0.006340694992899732	0.0028266982851727377	0.831280777939892	0.831280777939892	0.8312757779699659
4	0.006303647146280346	0.0038359592269573894	0.8226600883908857	0.8226600883908857	0.8226550884212747
5	0.006019164988760903	0.0030940365589534244	0.8645320090574876	0.8645320090574876	0.8645270090864048
6	0.005707209679181051	0.004019854191158499	0.8152709259203088	0.8152709259203088	0.8152659259509732
7	0.005695106219907439	0.0022313598948087367	0.8965517130966538	0.8965517130966538	0.8965467131245382
8	0.005299987761263069	0.002177561999165586	0.8817733881555002	0.8817733881555002	0.881768388183852
9	0.005467509112290305	0.0034483514415721097	0.8694581173712055	0.8694581173712055	0.8694531173999588
10	0.00497860004591038	0.002152428992780014	0.9014778214103717	0.9014778214103717	0.9014728214381038
11	0.0048149225284228395	0.0020858719695492516	0.8990147672535127	0.8990147672535127	0.8990097672813206
12	0.0048139745495511125	0.0020945888051452735	0.9014778214103717	0.9014778214103717	0.9014728214381038
13	0.004709601705089782	0.0030179762037559634	0.8546797924300519	0.8546797924300519	0.8546747924593023
14	0.00459577368707218	0.0019079275523489784	0.9273398900573906	0.9273398900573906	0.9273348900843493
15	0.004809433257186918	0.0019074306086016197	0.8940886589397948	0.8940886589397948	0.8940836589677561
16	0.004438023256580727	0.0022332101749877134	0.8743842256849234	0.8743842256849234	0.8743792257135148
17	0.004567951906111112	0.0022855600081605927	0.8977832401750833	0.8977832401750833	0.8977782402029295
18	0.004316962140235704	0.0020215546412925634	0.8731526986064939	0.8731526986064939	0.8731476986351256
19	0.004320095674277288	0.0019815356243357415	0.9039408755672306	0.9039408755672306	0.9039358755948871
20	0.004122956216976535	0.0017282625028331364	0.9137930921946664	0.9137930921946664	0.9137880922220247
21	0.004041003635855483	0.001845413705311893	0.9236453088221022	0.9236453088221022	0.9236403088491686
22	0.004131470401669583	0.0019337348279631918	0.9125615651162369	0.9125615651162369	0.912556565143632
23	0.003982158761364637	0.002127181026264138	0.9298029442142495	0.9298029442142495	0.9297979442411367
24	0.004118681796877314	0.0022111885759624698	0.9150246192730959	0.9150246192730959	0.9150196193004174
25	0.0038525872819934835	0.0023539684923543107	0.8977832401750833	0.8977832401750833	0.8977782402029295
